Año;Región;Ciudad;Resolución;Tipo de Infracción;Monto Original;Costo Monetario;Estado Actual;Responsable
2018;VI ;MARCHIGUE;7810/18/10-2;NO CONTAR CON BAÑOS QUIMICOS;60,00 UTM;1.437.600;PAGADA;PREVENCION
2018;VI ;MARCHIGUE;7810/18/10-3;NO INFORMAR A LOS TRABAJADORES DE LOS RIESGOS QUE SE ENTRAÑAN SUS LABORES.;60,00 UTM;1.725.120;PAGADA;PREVENCION
2018;VI ;MARCHIGUE;7810/18/10-4;NO SUPRIMIR EN LOS LUGARES DE TRABAJO SOBRE DESCARGA DE SOLERAS.-;60,00 UTM;1.725.120;PAGADA;PREVENCION
2018;VI ;MARCHIGUE;7810/18/10-5;NO CONTAR CON SEÑALIZACION VISIBLE YA SEA PERMAMENTE EN LA RUTA;60,00 UTM;1.725.120;PAGADA;PREVENCION
2018;IV;VICUÑA;8378/18/8;NO OTORGAR ROPA TERMICA A DOS TRABAJADORES EN FISCALIZACION ;40.0;958.400;PAGADA;PREVENCION
2018;VI ;MARCHIGUE;1453/18/29/1;NO CONTAR CON ALARMA DE RETROCESO EN VEHICULO DE CARGA;60,00 UTM;2.875.200;PAGADA;PREVENCION
2018;VI ;MARCHIGUE;1453/18/29/2;NO CONTAR CON BAÑOS QUIMICOS;60,00 UTM;1.725.120;PAGADA;PREVENCION
2018;VI ;MARCHIGUE;1453/18/29/3;NO SUPRIMIR EN LOS LUGARES DE TRABAJO SOBRE DESCARGA DE SOLERAS.-;60,00 UTM;1.725.120;PAGADA;PREVENCION
2019;VI ;RANCACUA;1345/19/44-1;NO CONTAR CADA TRABAJADOR CON AGUA PARA BEBER;60,00 UTM;1.476.870;SENTENCIA;PREVENCION
2019;VI ;RANCACUA;1345/19/44-2;NO PROVEER LETRINAS Y/O BAÑOS QUIMICOS;60,00 UTM;1.476.870;SENTENCIA;PREVENCION
2019;VI ;RANCACUA;1345/19/44-3;NO INFORMAR A LOS TRABAJADORES DE LOS RIESGOS LABORALES;60,00 UTM;2.980.380;SENTENCIA;PREVENCION
2019;VI ;RANCACUA;1345/19/44-4;NO CONSIGNAR POR ESCRITO LAS MODIFICACIONES DEL CONTRATO DE TRABAJO;40,00 UTM;1.969.160;SENTENCIA;RRHH
2019;VI ;RANCACUA;1345/19/44-5;NO PROPORCIONAR A LOS TRABAJADORES LOS EPP LIBRES DE COSTOS;60,00 UTM;2.980.380;SENTENCIA;PREVENCION
2020;VI ;RANCACUA;1345/20/1;NO CONTAR CADA TRABAJADOR CON AGUA PARA BEBER;60,00 UTM;6.195.400;SENTENCIA;PREVENCION
2020;VI ;RANCACUA;8364/20/9-1;NO DECLARAR OPORTUNAMENTE LAS COTIZACIONES PREVISIONALES ;11,25 UF;320.349;PERDIDA;RRHH
2020;VI ;RANCACUA;8364/20/9-2;EFECTURAR DE FORMA ERRONEA LAS COTIZACIONES PREVISIONALES DE LAS PERSONAS SEÑALADAS;15,00 UTM;427.132;PERDIDA;RRHH
2022;VI;RANCACUA;3550/22/8;NO OTORGAR LOS DESCANSOS CORRESPONDIENTES Y LOS DIAS DOMINGOS QUE CORRESPONDEN NO ENCONTRANDOSE LA EMPRESA AUTORIZADA PARA JORNADA EXCEPCIONAL;60,00 UTM;3.266.520;DEJA SIN EFECTO;RRHH
2022;VI;RANCACUA;8838/22/1;NO DENUNCIAR AL ORGANISMO ADMINISTRADOR ACCIDENTE O ENFERMEDAD PROFESIONAL ;60,00 UTM;3.266.520;APELADA INSPECCION DEL TRABAJO 30 03 2022;RRHH
2023;VI;PICHILEMU;1453/23/72-1;NO INFORMAR A LOS TRABAJADORES ACERCA DE LOS RIESGOS LABORALES;60,00 UTM;3.810.900;PAGADA;PREVENCION
2023;VI;PICHILEMU;1453/23/72-2;NO PROPORCIONAR LOS ELEMENTOS DE PROTECCION PERSONAL LIBRE DE COSTO PARA EL TRABAJADOR;60,00 UTM;3.810.900;PAGADA;PREVENCION
2023;VI;PICHILEMU;1453/23/72-3;NO TOMAR TODAS LAS MEDIDAS NECESARIAS PARA PROTEGER EFICAZMENTE LA VIDA Y LA SALUD DE LOS TRABAJADORES;60,00 UTM;3.810.900;PAGADA;PREVENCION
2023;VI;RANCAGUA;8018/23/143;NO COMPARECER A CITACION;0.67;198.663;PAGADA;RRHH
2023;VII;SAN JAVIER;1757/23/25;NO CONTAR CON EL SISTEMA DE AGUA POTABLE;60 UTM;3.852.960;CONFIRMADA;PREVENCION
2024;VII;SAN JAVIER;8283/24/40;NO ASISTIR A COMPARENDO;329198.0;329.198;PAGADA;RRHH
2024;VI;SAN FERNANDO;3550/24/86-1;MULTA POR INFORMACION DE LA CARTA DE AVISO ;10 UTM;651.820;PAGADA;RRHH
2024;VII;SAN JAVIER;8283/24/40;NO COMPARECER A CITACION;1,11 MM;329.128;PAGADA;RRHH
2024;VI;SAN FERNANDO;8595/24/67;NO CONSIGNAR POR ESCRITO LAS MODIFICACIONES DEL CONTRATO DE TRABAJO;60 UTM;3.993.660;PAGADA;RRHH
2025;VI;SAN FERNANDO;3550/25/37;NO COMPARECER A CITACION;1,11MM;365.358;PAGADA;RRHH
2025;VI;PICHILEMU;3137/25/51;NO COMPARECER A CITACION;1,11 MM;365.358;PENDIENTE DE PAGO;RRHH
2025;VII;SAN JAVIER;1757/25/31;NO MANTENER TODA LA DOCUMENTACION EN LA FAENA ;26,73 IMM;9.114.610;APELADA JUDICIALMENTE DIRECTAMENTE;RRHH
2025;VI ;RENGO ;0997/25/59;NO LLEVAR CORRECTAMENTE EL REGISTRO DE ASISTENCIA ;60 UTM;2.096.670;APELADA POR INSPECCION;RRHH
